99341	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
99341	PROKKA_00028	7	1647	+	htpB	10-1653/1653	========/======	9/15	98.91	70.48	vfdb	YP_094724	(htpB) Hsp60 60K heat shock protein HtpB [Hsp60 (VF0159)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]	
99341	PROKKA_00275	298	1412	+	rfaE	298-1412/1431	..======/======	4/8	77.64	66.58	vfdb	NP_439675	(rfaE) ADP-heptose synthase [LOS (VF0044)] [Haemophilus influenzae Rd KW20]	
99341	PROKKA_00397	1	860	+	lpxC	1-860/918	========/======	7/10	93.14	70.75	vfdb	NP_439302	(lpxC) UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine deacetylase [LOS (CVF494)] [Haemophilus influenzae Rd KW20]	
99341	PROKKA_00715	1	954	+	sopD	1-954/954	===============	0/0	100.00	98.22	vfdb	NP_461866	(sopD) type III secretion system effector SopD [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
99341	PROKKA_00794	25	752	+	entA	16-743/747	===============	0/0	97.46	80.22	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
99341	PROKKA_00795	1	851	+	entB	1-851/858	===============	0/0	99.18	80.38	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
99341	PROKKA_00796	1	1598	+	entE	1-1598/1611	========/======	4/4	99.07	79.50	vfdb	NP_752612	(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
99341	PROKKA_00797	1	1176	+	entC	13-1188/1188	========/======	4/4	98.82	77.93	vfdb	NP_752611	(entC) isochorismate synthase 1 [Enterobactin (VF0228)] [Escherichia coli CFT073]	
99341	PROKKA_00798	53	920	+	fepB	53-920/957	===============	0/0	90.70	76.73	vfdb	NP_752610	(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073]	
99341	PROKKA_00799	1	1227	+	entS	1-1227/1251	===============	0/0	98.08	78.32	vfdb	NP_752609	(entS) enterobactin exporter iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073]	
99341	PROKKA_00800	1	1000	+	fepD	13-1012/1017	===============	0/0	98.33	78.30	vfdb	NP_752608	(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]	
99341	PROKKA_00801	82	990	+	fepG	85-993/993	.==============	0/0	91.54	80.53	vfdb	NP_752607	(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]	
99341	PROKKA_00802	1	788	+	fepC	1-788/816	========/======	2/2	96.45	80.99	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
99341	PROKKA_00804	1	3833	+	entF	1-3830/3882	========/======	20/39	98.20	74.47	vfdb	NP_752604	(entF) enterobactin synthase multienzyme complex component ATP-dependent [Enterobactin (VF0228)] [Escherichia coli CFT073]	
99341	PROKKA_00806	22	1203	+	fes	19-1188/1203	========/======	8/20	96.92	72.68	vfdb	NP_752602	(fes) enterobactin/ferric enterobactin esterase [enterobactin (IA019)] [Escherichia coli CFT073]	
99341	PROKKA_00807	1	2256	+	fepA	1-2241/2241	========/======	14/53	99.15	78.55	vfdb	NP_752600	(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073]	
99341	PROKKA_00826	1	363	+	gtrA	1-363/363	===============	0/0	100.00	74.66	vfdb	NP_706257	(gtrA) bactoprenol-linked glucose translocase/flippase [LPS (VF0124)] [Shigella flexneri 2a str. 301]	
99341	PROKKA_00827	1	908	+	gtrB	1-908/930	===============	0/0	97.63	77.20	vfdb	NP_706258	(gtrB) bactoprenol glucosyl transferase [LPS (VF0124)] [Shigella flexneri 2a str. 301]	
99341	PROKKA_00833	100	816	+	IlpA	100-810/810	.=======/======	5/12	87.41	69.03	vfdb	NP_933683	(IlpA) immunogenic lipoprotein A  [IlpA (VF0513)] [Vibrio vulnificus YJ016]	
99341	PROKKA_00849	21	957	+	lpxB	18-954/1173	========/====..	14/30	78.60	66.28	vfdb	NP_439218	(lpxB) lipid-A-disaccharide synthase [LOS (CVF494)] [Haemophilus influenzae Rd KW20]	
99341	PROKKA_00939	55	1096	+	flgI	34-1075/1077	========/======	6/14	96.10	70.26	vfdb	YP_001006757	(flgI) flagellar P-ring protein precursor FlgI [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
99341	PROKKA_00940	107	659	+	flgH	125-677/684	..=============	0/0	80.85	77.58	vfdb	YP_001006758	(flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
99341	PROKKA_00941	131	783	+	flgG	2-654/654	========/======	2/2	99.69	75.69	vfdb	YP_001006759	(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
99341	PROKKA_00942	1	756	+	flgF	1-756/756	========/======	6/8	99.47	70.00	vfdb	YP_001006760	(flgF) flagellar basal-body rod protein FlgF [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
99341	PROKKA_00945	13	405	+	flgC	13-405/405	========/======	2/2	96.79	73.35	vfdb	YP_001006763	(flgC) flagellar basal-body rod protein FlgC [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
99341	PROKKA_00946	1	404	+	flgB	1-404/414	========/======	5/8	96.62	71.08	vfdb	YP_001006764	(flgB) flagellar basal-body rod protein FlgB [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
99341	PROKKA_00975	1	327	+	csgC	1-327/327	===============	0/0	100.00	99.39	vfdb	NP_460116	(csgC) curli assembly protein CsgC [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
99341	PROKKA_00976	1	456	+	csgA	1-456/456	===============	0/0	100.00	99.12	vfdb	NP_460115	(csgA) curlin major subunit CsgA [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
99341	PROKKA_00977	1	456	+	csgB	1-456/456	===============	0/0	100.00	99.56	vfdb	NP_460114	(csgB) minor curlin subunit precursor curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
99341	PROKKA_00978	1	651	+	csgD	1-651/651	===============	0/0	100.00	99.23	vfdb	NP_460113	(csgD) DNA-binding transcriptional regulator CsgD [curli fibers/thin aggregative fimbriae (AGF) (AI094)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
99341	PROKKA_00979	1	396	+	csgE	1-396/396	===============	0/0	100.00	99.50	vfdb	NP_460112	(csgE) curli production assembly/transport protein CsgE [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
99341	PROKKA_00980	1	417	+	csgF	1-417/417	===============	0/0	100.00	99.04	vfdb	NP_460111	(csgF) curli production assembly/transport protein CsgF [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
99341	PROKKA_00981	1	834	+	csgG	1-834/834	===============	0/0	100.00	98.92	vfdb	NP_460110	(csgG) curli production assembly/transport protein CsgG [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
99341	PROKKA_01028	1	1676	+	sopB/sigD	1-1676/1686	===============	0/0	99.41	98.63	vfdb	NP_460064	(sopB/sigD) type III secretion system effector SopB phosphoinositide phosphatase [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
99341	PROKKA_01073	1	1101	+	iroB	49-1149/1164	===============	0/0	94.59	78.75	vfdb	NP_753168	(iroB) glucosyltransferase IroB [Salmochelin (IA013)] [Escherichia coli CFT073]	
